year,ALIN,ALMA4,ARAD,ARDI5,ARPUP6,ASMIM,ASNU4,ATCA2,BAMU,BOBA2,BOER4,BOGR2,CHER2,CHGL13,CHRE4,CHSE7,CHSES,CRCR3,CYACF,CYIMI,DANAN,DAPU7,DEPI,EUEX4,GAPI,GUSA2,HODR,HYFIC,IPLA2,KAPA,LIPU4,MAPIP,MELE2,MUAR2,NAHI,OECAC2,OPPH,PEAN,PLJA,PLPA2,POJA5,PSTAT,SATR12,SCBR2,SEFLF,SOEL,SPAI,SPCO4,SPCR,SPFL2,SPHA,SPWR,TILA2,YUGL
1989,0,0,0,0,1.49,1.57,0,1.79,0,0,54.94,29.51,0.4,0,0,0,0,0,0,0,0,0.57,0,0,0,36.63,0.03,0,0,0,0,1.33,0,0,0,0,0,0,6.89,0,0.28,0.12,0,0,0.07,0.41,0,1.37,9.34,0,0,0.34,0,1.98
1990,0,0,0,0,1.81,0,5.89,1.88,0,0,64.75,34.4,0.39,0,0,0,0,0.61,0.09,0,0,1.35,0,0,0.16,19.62,0.01,0.26,0,0,0.17,0.9,0.2,0,0,0,0,0,8.9,0.23,0.29,0.17,0,0,0.09,0.44,0.04,1.87,8.11,0,0,0.23,0,1.31
1991,0,0,0,0.22,2.54,0.14,0.75,1.85,0,0,72.2,35.12,0.54,0,0,0,0,0.15,0,0,0,1.59,0,0,0.03,18.5,0.05,0.11,0,0,0.09,0.87,0.23,0,0,0,0,0,9.44,0.08,0.18,0,0.05,0.19,0,0.19,0,4.61,4.09,0,0,0.55,0,2.12
1992,0,0,0,0,3.05,3.17,6.32,0.07,0,0,66.76,36.32,0.37,0,0,0,0,0,0.08,0,1.15,1.77,0,0,0.14,19.47,0.55,0.08,0,0,0,1.76,0,0.28,0,0,0,0,4.39,0.01,0,0.22,0.3,0.97,0,0.38,0.29,9.06,4.3,0.11,0,0.63,0,1.98
1993,0,0,0,0,2.97,0,2.4,2.01,0,0,78.08,36.95,0.27,0,0,0,0,0,0,0.03,0,2.01,0,0,0.05,14.63,0,0,0,0,0,0.76,0.09,0,0,0,0,0,6.91,0,0.05,0.04,0.08,0.12,0,0.05,0,1.09,0.43,0,0,0.36,0,1.97
1994,0,0,0.31,0.31,3.14,0.14,1.22,2.14,0,1.05,72,38.46,0.18,0,0,0.78,0,0,0,0,0,0.73,0,0,0,13.73,0.11,0,0,0.05,0,0.97,0,0,0,0,0.09,0.03,8.24,0,0.14,0.25,0.2,0,0.04,0.8,0,0.18,1.4,6.09,0.04,2.13,0,2.46
1995,0,0,0,0,4.48,4.04,0,1.53,0,0,67.55,37.13,0.29,0,0,0,0,2.18,0.08,0.12,1.25,0.48,0,0,0.32,18.24,0.11,0.52,0.24,0,0,1.8,0,1.19,0.22,0.01,0,0,7.47,0.43,0.1,0.39,0.73,0,0.31,0.12,0,1.71,0.87,2.49,0.72,0.33,0,2.27
1996,0.11,0,1.17,0.87,8.1,2.23,0,2.41,0,3.44,104.85,52.52,0.05,0,0,0,0,0,0,0,0.63,0.22,0,0,0,11.18,0.32,2.13,0,3.63,0.03,1.3,0,0.42,0,0,0,4.01,11.54,0,0.2,0.08,4.51,1.29,0,1.16,2.49,0.4,1.3,0,0,0,0,2
1997,0,0,0.1,1.23,3.19,4.64,0,1.15,0.25,0,99.3,43.03,0.2,0,0,0,0,0.04,0,0,3.86,2.57,0,0,0.1,12.28,0.13,0.85,0,0,0.02,1.08,0,0.1,0,0.08,0.11,0.26,7.32,0.05,0.03,0.46,0.07,0,0.06,0.63,2.2,0.39,1.77,0.27,0,0,0,3.09
1998,0,0.1,0,0,4.48,7.84,0,1.81,0.07,0,87.53,34.03,0.08,0,0,0,0,0.67,0.03,0.06,1.92,1.71,0,0,0.17,14.35,0.26,0.23,0,0,0.01,1.81,0,0,0,0,0.03,0,7.91,0.55,0.45,0.73,0.25,0,0.22,0.18,0,0,0.32,1.34,0,0.15,0,2.14
1999,0.04,0,0.77,1.18,4.59,2.15,0,1.8,0,0.3,126.78,67.61,0.16,0.22,0.06,2.55,3.08,0,0,0.03,1.21,1.37,0,0.72,0,12.69,1.02,0,0,0.16,0,1.84,0.09,0,0,0,0,2.25,12.59,0,0,0.3,0.2,0,0.66,0.64,0,0.47,4.52,2.94,0.28,6.85,0.4,3.03
2000,0.02,0,0.46,0.96,5.82,2.32,0,2,0,0.09,107.08,55.59,0,0.02,0,0.04,0.01,0,0,0,0,1.13,0,0,0,9.17,0.39,0.11,0,0.2,0,2.04,0,0,0,0,0,0.01,12.68,0,0,0.1,0.51,0,0.15,0.77,0,0.38,7.73,8.19,0.63,3.61,0.05,3.94
2001,0,0.63,0,1.34,4.87,1.97,0.43,2.13,0.02,0.05,125.47,63.13,0.1,0,0,0,0,11.32,0.39,0,0,0.71,0.12,0,0.18,8.5,0.23,0.08,0.07,0,0.33,4.6,0,0,0.03,0.74,0,0,10.96,1.7,0.23,0.18,0.43,0,0.1,0.64,0,1.01,7.79,4.84,0.31,3.37,0,4
2002,0,0.06,0.69,0,4.69,0.02,0.17,1.37,0,2.55,117.03,45.46,0.02,0,1.01,1.34,2.37,0.07,0,0,0,0.33,0,2.84,0,5.39,1.01,0.05,0,4.49,0,2.43,0,0.18,0,0.04,0.1,0.28,9.16,0.12,0,0.02,0,0,0,0.34,0,0.94,2.94,4.56,0.33,0.92,0.15,4.19
2003,0,0.17,0,0,2.26,0.19,0.13,1.55,0,0.03,114.4,36.41,0,0,0.03,0.09,1.53,0.83,0,0,0,0.05,0,0.05,0,4.15,0.36,0.02,0,0.02,0,2.44,0,0.17,0.02,0.05,0,0.01,8.76,0.07,0,0.24,0.06,0,0,0.66,0,0.13,1.13,6.1,0.34,2.23,0,4.46
2004,0,0.32,0,0,3.26,0.06,0.56,1.8,0,0.05,117.15,53.28,0.07,0,0,0,0.3,14.83,0.21,0,0.16,0.07,0.07,0,0.19,12.23,0.54,0.53,0.22,0,0.31,9.95,0.01,0,0.13,0.88,0,0,10.49,1.48,0,0.24,0,0,0.26,0.5,0,4.41,7.15,9.57,1.41,5.1,0,4.48
2005,0,0.35,0,1.63,1.5,0.12,1.36,1.75,0,0,108.09,63.64,0.1,0.01,0,0.08,0.23,8.98,0.69,0,0.08,0.03,1.18,0.08,0.06,20.97,0.32,0.63,0.02,0,0.01,15.51,0.08,0,0,0.31,0,0,13.02,3.69,0.22,0.33,1.68,0,0.05,0.34,0,0.09,2.69,8.52,1.26,4.12,0,4.4
2006,0,0.05,0.13,2.85,1.48,0.09,1.73,1.75,0,1.04,112.86,57.35,0.04,0,0,0,0.07,0.11,0,0,1.31,0,0,0,0.11,15.25,0.39,0.34,0,0.09,0.05,6.07,0.1,0,0.02,0.08,0,0,13.97,0.55,0.1,0.3,0,0,0.2,0.2,0,0.24,2.92,7.66,0.59,1.18,0,3.49
2007,0,0.24,0,0.15,2.96,0,8.51,1.75,0,0,120.33,60.3,0.1,0,0,0,0,0.64,0.6,0.11,2.33,0,0,0,0.05,13.19,0.4,0.1,0.02,0,0.34,1.84,0.13,0,0.12,0,0,0,15.1,1.32,0.1,0.28,0.05,0,0.03,0.99,0,0.95,6.11,6.29,0.61,0.33,0,2.77
2008,0,0,0,0,3.51,0.05,0.52,1.25,0,1.4,122.81,56.38,0,0,0,0.09,0.12,0.04,0.05,0,0.13,0.03,0,0.02,0,8.87,0.05,0.06,0,0.08,0,0.54,0.1,0,0,0,0,0,14.31,0,0.05,0.05,0,0,0,0.3,0,0.04,3.76,6.35,0.08,0.11,0.17,2.86
